Symbol,LTP,%,High,Low,Open,Volume,Turnover,Date
NEPSE,546,,546,546,546,0,,13-Mar-13
NEPSE,548,,548,548,548,0,,14-Mar-13
NEPSE,535,,535,535,535,0,,17-Mar-13
NEPSE,531,,531,531,531,0,,18-Mar-13
NEPSE,532,,532,532,532,0,,19-Mar-13
NEPSE,528,,528,528,528,0,,20-Mar-13
NEPSE,528,,528,528,528,0,,21-Mar-13
NEPSE,520,,520,520,520,0,,24-Mar-13
NEPSE,522,,522,522,522,0,,25-Mar-13
NEPSE,521,,521,521,521,0,,27-Mar-13
NEPSE,519,,519,519,519,0,,28-Mar-13
NEPSE,511,,511,511,511,0,,31-Mar-13
NEPSE,514,,514,514,514,0,,01-Apr-13
NEPSE,519,,519,519,519,0,,02-Apr-13
NEPSE,518,,518,518,518,0,,03-Apr-13
NEPSE,513,,513,513,513,0,,04-Apr-13
NEPSE,516,,516,516,516,0,,07-Apr-13
NEPSE,515,,515,515,515,0,,08-Apr-13
NEPSE,519,,519,519,519,0,,09-Apr-13
NEPSE,523,,523,523,523,0,,11-Apr-13
NEPSE,521,,521,521,521,0,,15-Apr-13
NEPSE,521,,521,521,521,0,,16-Apr-13
NEPSE,519,,519,519,519,0,,17-Apr-13
NEPSE,519,,519,519,519,0,,18-Apr-13
NEPSE,514,,514,514,514,0,,21-Apr-13
NEPSE,504,,504,504,504,0,,22-Apr-13
NEPSE,509,,509,509,509,0,,23-Apr-13
NEPSE,508,,508,508,508,0,,25-Apr-13
NEPSE,505,,505,505,505,0,,28-Apr-13
NEPSE,502,,502,502,502,0,,29-Apr-13
NEPSE,501,,501,501,501,0,,30-Apr-13
NEPSE,493,,493,493,493,0,,02-May-13
NEPSE,488,,488,488,488,0,,05-May-13
NEPSE,482,,482,482,482,0,,06-May-13
NEPSE,490,,490,490,490,0,,07-May-13
NEPSE,486,,486,486,486,0,,08-May-13
NEPSE,486,,486,486,486,0,,09-May-13
NEPSE,483,,483,483,483,0,,12-May-13
NEPSE,489,,489,489,489,0,,13-May-13
NEPSE,491,,491,491,491,0,,14-May-13
NEPSE,494,,494,494,494,0,,15-May-13
NEPSE,500,,500,500,500,0,,16-May-13
NEPSE,498,,498,498,498,0,,19-May-13
NEPSE,497,,497,497,497,0,,20-May-13
NEPSE,500,,500,500,500,0,,21-May-13
NEPSE,499,,499,499,499,0,,22-May-13
